symbol,name,exchange,technology,industriaRBICS,finance,price,marketvalue,sales,netsales,ebit,depandamort,interest,netincome,taxes,retainearnigs,assests,currentassets,liabilities,daysreceiv,ccc,intangibles,netreceivables,freecashflow,cashflowoperations,capex,roaaverage,marketvaluelastyear,entreprisevalue,pricebv,pricetbv,growtheps,growthlongterm,pricetoearnings,evtoebitda,indistrifactset,equity,freecashtoassets,freecashtotangibleassets,debt
AAOI,"Applied Optoelectronics, Inc.",NASDAQ,1,Technology,0,13.3,264.4438961,267.465,267.465,-10.768,29.698,1.106,-2.146,-7.632,35.992,466.84,194.275,137.746,61.67191969,164.9741051,3.977,30.534,-57.825,14.029,77.921,-0.466629267,305.4985727,333.6887478,0.9288176,0.940179382,0,10,,17.62750913,Telecommunications Equipment,329.094,-0.123864707,-0.124928975,0.295060406
AAWW,"Atlas Air Worldwide Holdings, Inc.",NASDAQ,1,Industrials,0,49.93,1285.647605,2677.7241,2677.724,295.027,265.553,117.893,270.647,38.727,1539.956,5534.792,629.831,3466.828,31.61010433,,97.689,269.32,-288.236,425.58,713.816,5.159970388,1079.642071,3414.65039,0.5220857,0.547971457,0,10,8.091986651,6.664461977,Air Freight/Couriers,2067.964,-0.052077115,-0.05301279,0.626370061
ABEO,"Abeona Therapeutics, Inc.",NASDAQ,1,Healthcare,0,7.05,338.0052109,5.3409996,0.837,-27.836,0.741,0,-27.319,0,-359.792,178.766,140.592,8.668,50.36738351,,36.443,0.107,-23.795,-22.935,0.86,-18.85213095,342.3201553,522.1925192,4.369112,5.560409351,0,,,,Pharmaceuticals: Generic,170.098,-0.133106967,-0.167190124,0.048487968
ABG,"Asbury Automotive Group, Inc.",NYSE,0,Consumer Cyclicals,0,66.99,1306.238005,6874.3999,6874.4,314.6,33.7,86.1,168,56.8,922.7,2715.9,1553,2242.7,17.26667055,71.53675061,247,328.6,-62,0.3,62.3,6.623822103,1306.669344,3303.798,2.725246,5.701089133,0,14.50593,8.054713083,9.485495263,Specialty Stores,473.2,-0.022828528,-0.025112398,0.825766781
ABR,"Arbor Realty Trust, Inc.",NYSE,0,Finance,1,12.85,1096.850355,503.957,503.957,344.529,7.453,153.818,115.866,9.731,-74.133,4612.175,,3546.609,0.71521479,,389.935,,-34.613,-34.613,0,2.812923337,854.5200513,4255.668632,1.049669,2.034040826,1.49864,,6.711543588,12.09058597,Real Estate Investment Trusts,1065.566,-0.007504702,-0.008197781,0.768966702
ABTX,"Allegiance Bancshares, Inc.",NASDAQ,1,Finance,1,36.91,809.7315665,165.936,165.936,,,7.688,37.309,7.948,112.131,4655.249,,3952.265,,,249.712,,,,,0.992661135,710.1330277,516.01701,1.01017,1.566681948,0.3267169,,13.65822785,,Regional Banks,702.984,,,0.848991107
ABUS,Arbutus Biopharma Corporation,NASDAQ,1,Healthcare,0,4.02,223.1099989,6.3694344,10.7,-70.132,2.027,0.261,-84.413,-24.32,-738.07,237.161,129.366,54.688,26.67570093,,83.011,0.402,-55.904,-48.64,7.264,-32.90442036,212.5649958,211.7815454,2.095488,5.596722456,-100000,,,,Biotechnology,182.473,-0.235721725,-0.362659747,0.230594406
AC,"Associated Capital Group, Inc. Class A",NYSE,0,Finance,1,44.96,1016.095979,-42.797001,-42.797,-79.056,,,-58.099,-11.478,,950.856,,34.808,,,,,,,,-5.935219185,796.1979897,,0.919134,,,,,,Investment Managers,916.048,,,0.036607015
ACAMU.U,Acamar Partners Acquisition Corp. Units Cons of 1 Sh -A- + 1/3 Wt 30.12.25,NASDAQ,1,Finance,1,9.97,299.1,,0,0,,0,-0.00275,0,-0.00275,0.306004,0.012,0.283754,,,0,,-0.00275,-0.00275,0,,,,,,,,,,Financial Conglomerates,0.02225,-0.008986811,-0.008986811,0.927288532
ACBI,"Atlantic Capital Bancshares, Inc.",NASDAQ,1,Finance,1,18.61,470.6469325,102.972,102.972,,,5.703,28.05,6.307,42.187,2955.44,,2631.787,,,26.078,,,,,0.959283954,413.9973362,440.4784294,1.27916,1.391259881,0,,14.98123913,,Regional Banks,323.653,,,0.890489064
ACCO,ACCO Brands Corporation,NYSE,0,Consumer Cyclicals,0,9,919.8630066,1941.2,1941.2,196.9,70.7,41.2,106.7,51.2,-656.8,2786.4,880.2,1996.7,84.39637853,107.1481588,1495.9,428.4,160.7,194.8,34.1,3.820606929,696.5772071,1540.96,0.8821532,,0,10,6.799037304,5.758445441,Office Equipment/Supplies,789.7,0.057672983,0.124525378,0.716587712
ACER,Acer Therapeutics Inc.,NASDAQ,1,Healthcare,0,23.45,235.7194087,0,0,-13.94813,0.003997,0.245061,-14.194431,0,-25.551652,24.371741,16.526242,2.036204,,,7.765867,,-14.1581,-14.095256,0.062842,-104.5828849,202.2663775,35.5229188,4.649071,7.127096705,0,,,,Pharmaceuticals: Major,22.335537,-0.580922799,-0.852595895,0.083547745
ACHN,"Achillion Pharmaceuticals, Inc.",NASDAQ,1,Healthcare,0,2.67,370.1047234,0,0,-74.014,,0.036,-70.272,0,,277.858,,0.017,,,,,,,,-22.83519451,220.3994404,,,,-100000,,,,Biotechnology,277.841,,,6.11823E-05
ACIU,AC Immune SA,NASDAQ,1,Healthcare,0,4.34,292.3554258,22.481785,20.57886896,-22.89939,0.589273957,0,-26.83330082,0,-74.50692663,135.4674192,132.9235505,15.57106208,45.04784049,,0,,-24.27809,-22.4472738,1.830813225,-18.56614522,636.5803273,603.4527061,6.123171,6.12317525,0,,,,Pharmaceuticals: Major,119.8963571,-0.179217188,-0.179217188,0.114943225
ACLS,"Axcelis Technologies, Inc.",NASDAQ,1,Technology,0,20.37,663.2268188,442.57501,442.575,59.959,,5.11,45.885,8.82,-157.26,548.441,396.771,140.104,63.51531944,190.5897777,,78.727,,,,8.852477044,576.933553,474.9996,1.419294,1.419293868,0,20,13.18518519,,Electronic Production Equipment,408.337,,,0.255458655
ACMR,"ACM Research, Inc. Class A",NASDAQ,1,Technology,0,12.68,178.5978048,70.987,74.643,6.471,,0.498,6.574,0.806,-3.387,103.047,96.028,50.723,140.360918,317.0727634,0.274,24.608,,,,7.691677684,153.244802,177.2067024,3.328775,3.346302967,10.20409,20,29.40540541,,Industrial Machinery,52.324,,,0.4922317
ACNB,ACNB Corporation,NASDAQ,1,Finance,1,37.27,262.6044234,80.442001,80.442,,,,21.748,4.972,,1647.724,,1466.256,,,,,,,,1.338748737,276.3984928,394.720285,1.644827,,,,12.70226537,,Regional Banks,181.468,,,0.889867478
ACOR,"Acorda Therapeutics, Inc.",NASDAQ,1,Healthcare,0,13.8,657.3354011,471.43301,471.433,87.002,11.479,21.597,33.682,-13.259,-393.843,1299.666,528.107,687.683,40.5826968,9.64770618,710.629,23.43,117.465,150.793,33.915,2.697111467,740.9536155,665.95978,1.207248,,0,,21.89739986,6.762317401,Biotechnology,611.983,0.090380913,0.199418712,0.529122867
ACRE,Ares Commercial Real Estate Corporation,NYSE,0,Finance,1,15.12,434.7907246,118.284,118.284,102.044,0,63.002,38.596,0.446,3.565,1603.324,,1177.737,2.758699401,,,,39.218,39.218,0,2.288158177,374.2349511,1519.270846,0.8810745,0.881074543,0,,9.682209682,14.88838978,Investment Managers,425.587,0.024460433,,0.734559577
ACRS,"Aclaris Therapeutics, Inc.",NASDAQ,1,Healthcare,0,5.98,244.7972857,7.4209995,1.683,-71.823,0.402,0,-68.523,-1.83,-159.435,245.614,200.221,20.352,52.15834819,,25.853,0.481,-55.898,-54.663,1.235,-32.49853569,302.5170406,499.1478388,3.377939,3.815883001,,,,,Pharmaceuticals: Other,225.262,-0.227584747,-0.254358144,0.082861726
ACRX,"AcelRx Pharmaceuticals, Inc.",NASDAQ,1,Healthcare,0,3.61,275.7823219,2.2779999,2.151,-35.727,,12.558,-47.149,0.002,,120.533,,,,,,,,,,-48.09036897,176.4701291,,,,-100000,,,,Pharmaceuticals: Other,120.533,,,0
ACTG,Acacia Research Corporation,NASDAQ,1,Business Services,0,3.02,149.9097789,85.761002,65.402,-23.824,22.243,0,22.147,2.955,-320.018,308.768,139.695,13.109,75.07106052,,61.917,0.153,12.964,12.966,0.002,7.324094575,147.9242208,70.0566486,0.6730784,0.852414959,,,9.204545455,,Miscellaneous Commercial Services,295.659,0.041986216,0.052517511,0.042455824
ADAP,Adaptimmune Therapeutics PLC Sponsored ADR,NASDAQ,1,Healthcare,0,4.01,419.3257227,59.404392,59.40439301,-99.27886,7.796795385,0,-95.35251145,-16.77359233,-318.499,276.736,231.095,29.851,91.59962293,,1.473,0.192,-108.1149,-104.2115079,4.700040035,-34.18369495,601.2803936,354.8574861,2.435584,2.450207578,0,3.89858,,,Biotechnology,246.885,-0.390678842,-0.39276946,0.107868149
ADES,"Advanced Emissions Solutions, Inc.",NASDAQ,1,Industrials,0,11.75,234.0130043,13.863003,35.692,-14.814,0.789,3.024,27.702,24.152,-15.478,82.773,36.888,9.318,76.52912417,63.91306833,0.805,4.36,36.642,37.127,0.485,29.11586648,210.1138077,176.15658,2.729083,2.759323487,0,,7.488372093,,Industrial Machinery,73.455,0.442680584,0.447028109,0.11257294
ADMA,"ADMA Biologics, Inc.",NASDAQ,1,Healthcare,0,4.17,193.2836808,24.931744,22.76056,-34.26461,2.692301,3.285847,-43.758975,0,-150.693793,108.018833,63.166649,67.686076,39.27486988,91.76173708,8.378859,3.880154,-39.9481,-37.271774,2.676328,-66.45052883,110.778899,71.85957482,3.606661,4.552385921,0,,,,Biotechnology,40.332757,-0.369825325,-0.400924432,0.626613657
ADMP,Adamis Pharmaceuticals Corporation,NASDAQ,1,Healthcare,0,2.71,122.1017611,13.77457,13.073259,-24.69274,3.063553,0.231291,-25.53898,-0.339391,-113.997588,51.403158,21.46153,11.855674,22.8307123,-10.40956576,23.327309,0.83009,-17.1958,-15.132575,2.089058,-57.26898336,101.3759995,111.4716182,3.714867,9.057440626,0,,,,Pharmaceuticals: Other,39.547484,-0.334528085,-0.612476581,0.230640966
ADMS,"Adamas Pharmaceuticals, Inc.",NASDAQ,1,Healthcare,0,7.77,213.2787249,21.299,34.046,-115.023,1.46,19.092,-130.999,0,-342.698,234.814,228.373,144.929,47.30548376,296.3442069,,5.511,-105.287,-104.223,1.064,-62.23378228,233.4494427,138.35744,2.606543,2.606546335,100000,-7.13411,,,Pharmaceuticals: Other,89.885,-0.448384679,,0.617207662
