Num,twitter1,twitter2,linkjugador,busquedasus,clubactual,nacionalidad,ligapremium,campeones,altura,patrocinador,nike,goles1819,asistencias1819,minutos1819,golhora,asishora,goahora,goahorapond,seguidoretwitter,edad,edad2,mayor30,posicióncancha,izquierdo,valormill,TweetCount
1,mbappe,psg,Kylian Mbappé,,FC Paris Saint-Germain,Francia,0,1,1.78,Nike,1,22,12,1918,0.6882168926,0.3753910323,1.063607925,0.6460381249,,20,400,0,Extremo derecho,0,200,51853
2,neymar,psg,Neymar,7480000,FC Paris Saint-Germain,Brasil,0,1,1.75,Nike,1,20,10,1917,0.6259780908,0.3129890454,0.9389671362,0.5837773206,42200,26,676,0,Extremo izquierdo,1,180,71432
3,messi,fcbarcelona,Lionel Messi,2740000,FC Barcelona,Argentina,1,1,1.7,adidas,0,26,15,2004,0.7784431138,0.4491017964,1.22754491,0.7340375429,,31,961,1,Extremo derecho,0,160,34264
4,griezmann,atleti,Antoine Griezmann,1000000,Atlético de Madrid,Francia,1,1,1.76,Puma,0,16,8,2506,0.3830806065,0.1915403033,0.5746209098,0.3572549477,5940,27,729,0,Delantero centro,0,150,3050
5,hazard,chelsea,Eden Hazard,1220000,Chelsea FC,Bélgica,1,0,1.73,Nike,1,13,10,2152,0.3624535316,0.2788104089,0.6412639405,0.3511758072,5900,28,784,0,Extremo izquierdo,1,150,32682
6,kane,coys,Harry Kane,2400000,Tottenham Hotspur,Inglaterra,1,1,1.88,Nike,1,20,6,2564,0.4680187207,0.1404056162,0.608424337,0.4238461673,,25,625,0,Delantero centro,0,150,4622
7,mosalah,lfc,Mohamed Salah,1500000,FC Liverpool,Egipto,1,0,1.75,adidas,0,19,8,2480,0.4596774194,0.1935483871,0.6532258065,0.4237948532,7280,26,676,0,Extremo derecho,0,150,8288
8,Sterling,mancity,Raheem Sterling,301000,Manchester City,Inglaterra,1,1,1.7,Nike,1,12,12,2286,0.3149606299,0.3149606299,0.6299212598,0.3149606299,1550,24,576,0,Extremo derecho,0,120,9874
9,dybala,juventus,Paulo Dybala,673000,Juventus de Turín,Argentina,0,1,1.77,adidas,0,7,5,1928,0.2178423237,0.1556016598,0.3734439834,0.209450324,,25,625,0,Media punta,0,110,3738
10,ronaldo,juventus,Cristiano Ronaldo,9140000,Juventus de Turín,Portugal,0,0,1.87,Nike,1,17,8,2322,0.4392764858,0.2067183463,0.645994832,0.4079203321,,33,1089,1,Extremo izquierdo,1,100,1100841
11,sane,mancity,Leroy Sané,246000,Manchester City,Alemania,1,1,1.83,Nike,1,11,13,1834,0.3598691385,0.4252998909,0.7851690294,0.3686912624,,23,529,0,Extremo izquierdo,1,100,5584
12,icardi,inter,Mauro Icardi,246000,Inter de Milán,Argentina,0,1,1.81,Nike,1,14,3,2074,0.4050144648,0.08678881389,0.4918032787,0.3621076355,,25,625,0,Delantero centro,0,100,17571
13,lukaku,manutd,Romelu Lukaku,450000,Manchester United,Bélgica,1,0,1.9,Puma,0,9,4,1872,0.2884615385,0.1282051282,0.4166666667,0.2668539326,,25,625,0,Delantero centro,0,85,8003
14,gareth,realmadrid,Gareth Bale,1000000,Real Madrid CF,Gales,1,0,1.85,adidas,0,11,5,1757,0.375640296,0.1707455891,0.546385885,0.3480140433,17800,29,841,0,Extremo derecho,0,80,748
15,asensio,realmadrid,Marco Asensio,368000,Real Madrid CF,España,1,1,1.82,Nike,1,4,4,1470,0.1632653061,0.1632653061,0.3265306122,0.1632653061,,23,529,0,Extremo izquierdo,1,80,775
16,dembele,fcbarcelona,Ousmane Dembélé,246000,FC Barcelona,Francia,1,1,1.78,Nike,1,13,5,1791,0.4355108878,0.1675041876,0.6030150754,0.3993751529,,21,441,0,Extremo izquierdo,1,80,2831
17,firmino,lfc,Roberto Firmino,368000,FC Liverpool,Brasil,1,1,1.81,adidas,0,11,4,2224,0.2967625899,0.1079136691,0.404676259,0.2712998141,0.791,27,729,0,Media punta,0,80,6841
18,insigne,napoli,Lorenzo Insigne,90500,SSC Napoli,Italia,0,1,1.63,adidas,0,10,6,1972,0.3042596349,0.1825557809,0.4868154158,0.2878501265,,27,729,0,Extremo izquierdo,1,75,3057
19,aubameyang,arsenal,Pierre-Emerick Aubameyang,201000,FC Arsenal,Gabón,1,0,1.87,Nike,1,17,3,2225,0.4584269663,0.0808988764,0.5393258427,0.4075243025,,29,841,0,Delantero centro,0,75,21710
20,mane,lfc,Sadio Mané,450000,FC Liverpool,Senegal,1,0,1.74,Nike,1,10,3,2367,0.2534854246,0.07604562738,0.329531052,0.2295609575,,26,676,0,Extremo izquierdo,1,75,30177
21,aguero,mancity,Sergio Agüero,135000,Manchester City,Argentina,1,1,1.73,Puma,0,16,5,1803,0.5324459235,0.1663893511,0.6988352745,0.4830899811,13200,30,900,0,Delantero centro,0,75,4811
